,,,,,,,,,,Métrage en m ,Position,taille mm,taille mm,,,,
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,993.372,737.449,0.826,2.112,0.000,552,552,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,993.710,737.614,0.495,3.249,0.000,553,553,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,1058.366,1474.199,0.947,1.790,0.000,576,576,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,841.219,1473.195,0.789,3.902,0.000,504,504,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,966.416,1474.338,0.632,3.739,0.000,541,541,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,827.314,198.480,3.044,1.455,0.000,495,495,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,839.805,1473.530,0.789,1.952,0.000,503,503,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,108.336,1720.112,0.630,1.952,0.000,119,119,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,27,1391,175.410,942.418,0.472,1.462,0.000,161,161,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,3.899,229.947,1.442,0.321,0.000,60,60,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,3.897,169.874,1.922,0.483,0.000,61,61,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,60.852,168.059,1.922,0.320,0.000,100,100,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,113.544,165.303,2.723,0.806,0.000,125,125,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,169.703,1141.766,1.762,0.810,0.000,155,155,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,263.045,1635.591,1.722,0.493,0.000,194,194,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,1202.333,725.042,3.137,0.321,0.000,638,638,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,1259.159,521.520,3.248,0.480,0.000,715,715,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,1259.156,232.534,8.170,0.809,0.000,716,716,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,983.115,170.893,1.922,0.483,0.000,545,545,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,1042.338,451.556,2.382,0.644,0.000,567,567,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,1042.361,787.789,7.458,0.810,0.000,570,570,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,1091.019,257.547,1.588,0.321,0.000,584,584,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,1146.042,251.603,1.906,0.645,0.000,605,605,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,1146.046,518.516,1.607,0.321,0.000,606,606,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,748.900,981.780,11.021,0.655,0.000,463,463,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,748.901,841.483,1.439,0.486,0.000,465,465,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,924.120,278.087,1.429,0.646,0.000,525,525,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,930.558,1089.297,6.193,0.805,0.000,529,529,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,983.119,435.499,1.429,0.646,0.000,542,542,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,983.115,201.970,1.442,0.646,0.000,544,544,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,689.820,622.615,1.494,0.321,0.000,429,429,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,689.818,577.314,1.809,0.483,0.000,430,430,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,689.813,153.946,2.083,0.807,0.000,436,436,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,689.843,716.634,1.321,0.648,0.000,437,437,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,689.819,764.781,1.621,0.648,0.000,438,438,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,689.818,791.208,2.432,0.485,0.000,439,439,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,563.890,1192.611,2.120,0.485,0.000,369,369,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,580.440,519.061,3.377,0.482,0.000,380,380,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,580.436,497.533,1.767,0.646,0.000,382,382,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,580.437,960.586,6.298,0.485,0.000,383,383,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,580.437,702.023,1.816,0.485,0.000,385,385,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,580.437,715.231,1.486,0.323,0.000,386,386,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,462.084,783.544,1.946,0.323,0.000,306,306,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,472.966,1627.900,2.192,0.494,0.000,326,326,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,521.312,479.924,1.446,0.321,0.000,339,339,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,521.308,614.283,2.490,0.319,0.000,341,341,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,521.303,155.978,1.762,0.321,0.000,344,344,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,562.713,512.844,2.089,0.807,0.000,368,368,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,284.399,447.005,1.429,0.484,0.000,202,202,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,343.623,484.166,1.767,0.483,0.000,232,232,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,390.275,823.590,2.399,1.135,0.000,243,243,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,461.307,227.938,1.602,0.321,0.000,293,293,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,462.085,357.507,1.432,0.646,0.000,295,295,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,28,1391,462.083,474.783,5.302,0.475,0.000,298,298,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,51.902,1379.421,2.386,11.180,0.000,93,93,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,64.374,289.270,3.871,13.085,0.000,105,105,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,101.259,1151.214,2.551,12.465,0.000,114,114,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,121.163,974.987,2.463,15.114,0.000,131,131,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,169.310,361.766,3.809,7.474,0.000,148,148,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,228.718,712.228,1.486,12.186,0.000,177,177,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,1123.810,1551.616,2.965,5.037,0.000,597,597,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,1145.159,1479.818,3.760,8.937,0.000,602,602,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,232.241,1704.336,3.338,5.793,0.000,180,180,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,619.838,417.486,0.884,2.111,0.000,408,408,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,826.978,198.723,2.653,5.357,0.000,491,491,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,827.450,197.855,7.369,2.745,0.000,496,496,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,832.843,1087.464,2.115,6.970,0.000,501,501,0'
1391,'01 439901_73811 E',0,'TERMINE',1297.384,0.000,'M1500',0,29,1391,943.921,1278.961,3.145,6.930,0.000,534,534,0'
